x0000,y0000
0.,0.
1.,0.1044776119
2.,0.1038961039
3.,0.
4.,0.1684210526
5.,0.1978021978
6.,0.0158730159
7.,0.0735294118
8.,0.2535211268
9.,0.1392405063
10.,0.
11.,0.
12.,0.1739130435
13.,0.0545454545
14.,0.
15.,0.
16.,0.
17.,0.1600000000
18.,0.2000000000
19.,0.
20.,0.
21.,0.
22.,0.0689655172
23.,0.
24.,0.
25.,0.
26.,0.2258064516
27.,0.2209302326
28.,0.0493827160
29.,0.
30.,0.
31.,0.
32.,0.
33.,0.1500000000
34.,0.0410958904
35.,0.0941176471
36.,0.1190476190
37.,0.1710526316
38.,0.3068181818
39.,0.4285714286
40.,0.3692307692
41.,0.125
42.,0.
43.,0.
44.,0.0128205128
45.,0.0821917808
46.,0.
47.,0.
48.,0.0641025641
49.,0.1444444444
50.,0.
51.,0.0500000000
52.,0.0285714286
53.,0.
54.,0.
55.,0.125
56.,0.1095890411
57.,0.0860215054
58.,0.
59.,0.170212766
60.,0.09375
61.,0.1136363636
62.,0.
63.,0.0684931507
64.,0.1034482759
65.,0.0649350649
66.,0.0303030303
67.,0.
68.,0.0821917808
69.,0.
70.,0.
71.,0.
72.,0.1142857143
73.,0.
74.,0.1274509804
75.,0.
76.,0.
77.,0.
78.,0.
79.,0.1683168317
80.,0.1807228916
81.,0.
82.,0.
83.,0.
84.,0.1851851852
85.,0.0142857143
86.,0.0500000000
87.,0.
88.,0.
89.,0.
90.,0.
91.,0.
92.,0.
93.,0.1495327103
94.,0.
95.,0.1090909091
96.,0.
97.,0.
98.,0.0694444444
99.,0.1194029851
